time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2018-08-24T12:51:20.800Z,49.4046143,17.0778981,4041.203,-31.19,40.23,-0.46,2.716,4.531,0.76,127.78614,0.01493,,14
2018-08-24T12:51:21.000Z,49.4045596,17.0780079,4041.472,-30.76,39.65,-0.36,2.713,4.498,0.69,127.80389,0.01375,,14
2018-08-24T12:51:21.200Z,49.4045055,17.0781178,4041.667,-30.44,40.01,-0.40,2.711,4.483,0.64,127.26423,0.01273,,14
2018-08-24T12:51:21.400Z,49.4044516,17.0782279,4041.670,-30.30,40.02,-0.67,2.708,4.471,0.64,127.13014,0.01275,,14
2018-08-24T12:51:21.600Z,49.4043977,17.0783392,4041.939,-29.86,40.76,-0.57,2.691,4.439,0.65,126.22580,0.01286,,14
2018-08-24T12:51:21.800Z,49.4043444,17.0784509,4042.097,-29.88,40.23,-0.76,2.684,4.414,0.63,126.60235,0.01257,,14
2018-08-24T12:51:22.000Z,49.4042918,17.0785624,4042.410,-29.49,40.30,-0.88,2.682,4.413,0.63,126.19524,0.01261,,14
2018-08-24T12:51:22.200Z,49.4042390,17.0786743,4042.800,-29.88,40.70,-0.80,2.676,4.389,0.60,126.28434,0.01188,,14
2018-08-24T12:51:22.400Z,49.4041864,17.0787864,4043.525,-29.25,41.11,-1.44,2.671,4.338,0.58,125.43207,0.01149,,14
2018-08-24T12:51:22.600Z,49.4041340,17.0788991,4044.156,-29.03,41.24,-1.40,2.666,4.289,0.59,125.14280,0.01169,,14
2018-08-24T12:51:22.800Z,49.4040820,17.0790111,4045.280,-28.61,41.01,-1.20,2.663,4.182,0.64,124.90097,0.01280,,14
2018-08-24T12:51:23.000Z,49.4040311,17.0791246,4045.402,-27.90,41.70,-1.30,2.663,4.181,0.63,123.78509,0.01255,,14
2018-08-24T12:51:23.200Z,49.4039815,17.0792379,4045.563,-27.83,40.66,-0.51,2.664,4.180,0.62,124.38994,0.01258,,14
2018-08-24T12:51:23.400Z,49.4039317,17.0793510,4045.744,-27.81,41.50,-1.11,2.663,4.178,0.65,123.82685,0.01301,,14
2018-08-24T12:51:23.600Z,49.4038818,17.0794654,4045.905,-27.86,41.58,-1.08,2.661,4.173,0.60,123.82342,0.01199,,14
2018-08-24T12:51:23.800Z,49.4038318,17.0795804,4046.095,-27.52,41.86,-1.23,2.656,4.173,0.57,123.32210,0.01137,,14
2018-08-24T12:51:24.000Z,49.4037825,17.0796958,4046.009,-27.16,42.07,-0.98,2.654,4.172,0.59,122.84591,0.01178,,14
2018-08-24T12:51:24.200Z,49.4037338,17.0798118,4046.237,-26.89,41.98,-1.43,2.651,4.165,0.56,122.64131,0.01123,,14
2018-08-24T12:51:24.400Z,49.4036851,17.0799277,4046.441,-27.37,41.72,-0.77,2.648,4.168,0.57,123.26649,0.01142,,14
2018-08-24T12:51:24.600Z,49.4036365,17.0800443,4046.730,-26.81,42.26,-1.13,2.644,4.167,0.60,122.39129,0.01199,,14
2018-08-24T12:51:24.800Z,49.4035880,17.0801614,4046.918,-26.83,42.19,-0.91,2.639,4.165,0.59,122.45361,0.01180,,14
2018-08-24T12:51:25.000Z,49.4035403,17.0802785,4047.136,-26.54,42.36,-1.21,2.639,4.168,0.67,122.06856,0.01340,,14
2018-08-24T12:51:25.200Z,49.4034926,17.0803955,4047.244,-26.56,42.29,-1.03,2.639,4.165,0.63,122.13065,0.01261,,14
2018-08-24T12:51:25.400Z,49.4034450,17.0805129,4047.140,-26.11,42.52,-0.44,2.630,4.139,0.49,121.55259,0.00982,,14
2018-08-24T12:51:25.600Z,49.4033973,17.0806294,4047.304,-26.56,41.75,-1.00,2.621,4.119,0.50,122.46320,0.01010,,14
2018-08-24T12:51:25.800Z,49.4033493,17.0807453,4047.405,-26.63,41.77,-0.71,2.613,4.111,0.51,122.51910,0.01029,,14
2018-08-24T12:51:26.000Z,49.4033012,17.0808614,4047.432,-26.46,42.22,-0.66,2.603,4.106,0.51,122.07608,0.01023,,14
2018-08-24T12:51:26.200Z,49.4032533,17.0809773,4047.421,-26.40,42.12,-0.60,2.591,4.100,0.50,122.07869,0.01006,,14
2018-08-24T12:51:26.400Z,49.4032053,17.0810930,4047.365,-26.47,42.10,-0.31,2.579,4.095,0.52,122.15926,0.01046,,14
2018-08-24T12:51:26.600Z,49.4031574,17.0812083,4047.161,-26.49,41.66,0.18,2.575,4.092,0.53,122.45072,0.01074,,14
2018-08-24T12:51:26.800Z,49.4031100,17.0813237,4047.065,-26.18,41.93,-0.07,2.575,4.095,0.54,121.97958,0.01092,,14
2018-08-24T12:51:27.000Z,49.4030625,17.0814394,4046.938,-26.36,41.99,-0.16,2.573,4.088,0.48,122.11931,0.00968,,14
2018-08-24T12:51:27.200Z,49.4030151,17.0815557,4046.981,-26.49,42.04,-0.17,2.570,4.082,0.53,122.21561,0.01067,,14
2018-08-24T12:51:27.400Z,49.4029677,17.0816711,4046.849,-26.16,41.74,-0.27,2.566,4.070,0.54,122.07689,0.01096,,14
2018-08-24T12:51:27.600Z,49.4029205,17.0817863,4046.959,-26.38,41.45,-0.38,2.567,4.066,0.61,122.47388,0.01242,,14
