time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2020-03-23T19:29:25.400Z,32.7889105,-111.6026414,4512.003,-22.62,-26.74,2.83,1.709,3.332,0.41,229.77133,0.01167,,18
2020-03-23T19:29:25.600Z,32.7888700,-111.6026982,4511.374,-22.66,-26.66,2.93,1.704,3.329,0.43,229.63671,0.01225,,18
2020-03-23T19:29:25.800Z,32.7888290,-111.6027546,4510.827,-22.95,-26.52,2.79,1.705,3.333,0.46,229.12759,0.01307,,18
2020-03-23T19:29:26.000Z,32.7887880,-111.6028104,4510.438,-22.37,-26.30,3.01,1.705,3.328,0.47,229.61650,0.01356,,18
2020-03-23T19:29:26.200Z,32.7887464,-111.6028666,4509.702,-23.71,-26.77,4.00,1.700,3.321,0.46,228.46891,0.01278,,18
2020-03-23T19:29:26.400Z,32.7887043,-111.6029236,4509.048,-23.05,-26.74,3.70,1.695,3.314,0.45,229.23851,0.01268,,18
2020-03-23T19:29:26.600Z,32.7886629,-111.6029805,4508.249,-23.12,-26.51,3.13,1.696,3.316,0.49,228.90755,0.01388,,18
2020-03-23T19:29:26.800Z,32.7886216,-111.6030364,4507.762,-22.67,-26.26,2.67,1.691,3.311,0.34,229.19628,0.00977,,18
2020-03-23T19:29:27.000Z,32.7885802,-111.6030919,4507.297,-22.97,-26.19,2.76,1.685,3.313,0.33,228.74754,0.00944,,18
2020-03-23T19:29:27.200Z,32.7885383,-111.6031483,4506.798,-23.15,-26.53,2.71,1.685,3.323,0.49,228.89214,0.01388,,18
2020-03-23T19:29:27.400Z,32.7884965,-111.6032043,4506.280,-22.99,-25.85,2.69,1.688,3.330,0.45,228.35133,0.01297,,18
2020-03-23T19:29:27.600Z,32.7884552,-111.6032597,4505.701,-22.79,-25.96,2.72,1.692,3.338,0.46,228.72046,0.01328,,18
2020-03-23T19:29:27.800Z,32.7884142,-111.6033151,4505.117,-22.71,-25.89,2.65,1.698,3.343,0.44,228.74365,0.01274,,18
2020-03-23T19:29:28.000Z,32.7883728,-111.6033707,4504.673,-22.96,-26.02,2.55,1.702,3.346,0.45,228.57488,0.01293,,18
2020-03-23T19:29:28.200Z,32.7883315,-111.6034260,4504.195,-22.82,-25.84,2.57,1.706,3.352,0.46,228.55141,0.01331,,18
2020-03-23T19:29:28.400Z,32.7882897,-111.6034811,4503.775,-23.14,-25.94,2.80,1.714,3.361,0.68,228.26517,0.01950,,17
2020-03-23T19:29:28.600Z,32.7882485,-111.6035360,4503.139,-22.76,-25.66,2.73,1.725,3.370,0.63,228.42750,0.01831,,18
2020-03-23T19:29:28.800Z,32.7882076,-111.6035910,4502.563,-22.57,-25.75,2.66,1.728,3.372,0.47,228.76528,0.01368,,18
2020-03-23T19:29:29.000Z,32.7881664,-111.6036455,4502.091,-22.82,-25.69,2.38,1.731,3.376,0.56,228.38585,0.01626,,18
2020-03-23T19:29:29.200Z,32.7881247,-111.6036996,4501.764,-22.76,-25.52,2.39,1.736,3.384,0.58,228.27184,0.01692,,18
2020-03-23T19:29:29.400Z,32.7880836,-111.6037535,4501.267,-22.64,-25.19,2.56,1.742,3.398,0.60,228.05177,0.01766,,18
2020-03-23T19:29:29.600Z,32.7880424,-111.6038067,4500.888,-22.67,-25.02,2.32,1.748,3.408,0.60,227.82106,0.01773,,18
2020-03-23T19:29:29.800Z,32.7880012,-111.6038599,4500.465,-22.88,-25.06,2.09,1.753,3.420,0.55,227.60365,0.01618,,18
2020-03-23T19:29:30.000Z,32.7879600,-111.6039131,4499.886,-22.87,-25.09,2.50,1.759,3.436,0.57,227.65025,0.01674,,18
2020-03-23T19:29:30.200Z,32.7879187,-111.6039665,4499.414,-22.75,-25.26,2.01,1.765,3.446,0.56,227.99274,0.01644,,18
2020-03-23T19:29:30.400Z,32.7878775,-111.6040193,4499.191,-22.59,-24.71,2.17,1.772,3.458,0.62,227.56630,0.01848,,18
2020-03-23T19:29:30.600Z,32.7878363,-111.6040714,4499.029,-22.61,-24.70,2.00,1.778,3.456,0.56,227.52949,0.01669,,18
2020-03-23T19:29:30.800Z,32.7877959,-111.6041246,4498.822,-21.99,-25.36,1.56,1.782,3.463,0.51,229.07100,0.01518,,18
2020-03-23T19:29:31.000Z,32.7877556,-111.6041783,4498.448,-22.52,-25.13,1.59,1.786,3.470,0.52,228.13521,0.01539,,18
2020-03-23T19:29:31.200Z,32.7877151,-111.6042315,4498.039,-22.36,-24.87,1.46,1.787,3.469,0.46,228.04208,0.01374,,18
2020-03-23T19:29:31.400Z,32.7876749,-111.6042846,4497.670,-22.11,-24.98,1.72,1.787,3.468,0.44,228.48770,0.01317,,18
2020-03-23T19:29:31.600Z,32.7876351,-111.6043376,4497.267,-22.09,-24.76,1.59,1.790,3.474,0.50,228.26178,0.01505,,18
2020-03-23T19:29:31.800Z,32.7875954,-111.6043902,4496.794,-22.17,-24.76,1.66,1.788,3.465,0.38,228.15887,0.01142,,18
2020-03-23T19:29:32.000Z,32.7875552,-111.6044422,4496.477,-22.20,-24.74,1.70,1.783,3.451,0.32,228.09735,0.00961,,18
2020-03-23T19:29:32.200Z,32.7875151,-111.6044940,4496.182,-22.04,-24.66,1.86,1.778,3.437,0.31,228.21109,0.00936,,18
2020-03-23T19:29:32.400Z,32.7874750,-111.6045457,4495.954,-22.05,-24.56,1.95,1.775,3.428,0.29,228.08246,0.00877,,18
2020-03-23T19:29:32.600Z,32.7874353,-111.6045971,4495.563,-21.99,-24.49,2.00,1.771,3.415,0.28,228.07878,0.00849,,18
2020-03-23T19:29:32.800Z,32.7873954,-111.6046484,4495.300,-21.93,-24.43,1.99,1.769,3.411,0.43,228.08673,0.01307,,18
2020-03-23T19:29:33.000Z,32.7873557,-111.6046993,4494.940,-21.71,-24.27,2.10,1.769,3.405,0.48,228.18673,0.01471,,18
2020-03-23T19:29:33.200Z,32.7873156,-111.6047503,4494.594,-21.92,-24.38,2.24,1.765,3.393,0.44,228.04137,0.01339,,18
2020-03-23T19:29:33.400Z,32.7872756,-111.6048013,4494.370,-21.77,-24.30,2.18,1.763,3.387,0.47,228.14332,0.01437,,17
2020-03-23T19:29:33.600Z,32.7872356,-111.6048526,4493.940,-21.70,-24.43,2.21,1.759,3.376,0.47,228.38685,0.01435,,18
2020-03-23T19:29:33.800Z,32.7871957,-111.6049039,4493.577,-21.66,-24.29,2.51,1.752,3.359,0.38,228.27581,0.01164,,18
2020-03-23T19:29:34.000Z,32.7871555,-111.6049551,4493.111,-21.69,-24.15,2.72,1.743,3.347,0.33,228.07183,0.01013,,18
2020-03-23T19:29:34.200Z,32.7871157,-111.6050066,4492.657,-21.59,-24.16,2.69,1.735,3.338,0.35,228.21520,0.01077,,18
2020-03-23T19:29:34.400Z,32.7870759,-111.6050581,4492.175,-21.67,-24.16,2.83,1.726,3.331,0.25,228.10989,0.00767,,18
2020-03-23T19:29:34.600Z,32.7870361,-111.6051097,4491.701,-21.69,-24.19,2.82,1.717,3.323,0.25,228.11896,0.00767,,18
2020-03-23T19:29:34.800Z,32.7869969,-111.6051611,4491.070,-21.69,-24.19,3.09,1.714,3.314,0.49,228.11896,0.01501,,18
2020-03-23T19:29:35.000Z,32.7869573,-111.6052122,4490.631,-21.64,-24.03,2.96,1.710,3.307,0.38,227.99567,0.01170,,18
2020-03-23T19:29:35.200Z,32.7869176,-111.6052635,4490.165,-21.70,-24.11,2.85,1.707,3.304,0.39,228.01147,0.01198,,18
2020-03-23T19:29:35.400Z,32.7868780,-111.6053145,4489.629,-21.77,-23.89,2.99,1.704,3.299,0.41,227.65834,0.01263,,18
2020-03-23T19:29:35.600Z,32.7868384,-111.6053650,4489.088,-21.67,-23.89,3.24,1.701,3.295,0.40,227.78964,0.01234,,18
2020-03-23T19:29:35.800Z,32.7867987,-111.6054156,4488.552,-21.75,-23.83,3.10,1.696,3.291,0.38,227.61283,0.01172,,18
2020-03-23T19:29:36.000Z,32.7867594,-111.6054662,4487.910,-21.70,-23.84,3.15,1.691,3.288,0.36,227.69044,0.01111,,18
2020-03-23T19:29:36.200Z,32.7867200,-111.6055164,4487.177,-21.80,-23.66,3.51,1.685,3.282,0.34,227.34296,0.01051,,18
2020-03-23T19:29:36.400Z,32.7866806,-111.6055665,4486.403,-21.85,-23.64,3.50,1.678,3.273,0.31,227.25339,0.00957,,18
