time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2018-06-15T10:29:20.20Z,44.3606460,12.2148385,-4.941,-0.46,-0.08,0.02,64.838,69.917,2.83,0.00000,180.00000,3,6
2018-06-15T10:29:20.40Z,44.3606602,12.2148714,-7.205,-0.29,-0.12,-0.05,46.040,38.400,2.19,0.00000,180.00000,3,6
2018-06-15T10:29:20.60Z,44.3607016,12.2148923,-4.668,-0.54,-0.29,-0.06,42.735,38.142,1.85,0.00000,140.68336,3,7
2018-06-15T10:29:20.80Z,44.3607223,12.2148932,-3.114,-0.26,0.05,0.32,35.031,32.442,1.75,0.00000,140.68448,3,8
2018-06-15T10:29:21.00Z,44.3607320,12.2149108,1.232,-0.25,0.03,0.40,27.277,27.964,1.57,0.00000,140.68548,3,9
2018-06-15T10:29:21.20Z,44.3607282,12.2149182,3.672,-0.09,0.19,0.31,22.598,25.052,1.32,0.00000,140.68634,3,9
2018-06-15T10:29:21.40Z,44.3607194,12.2149202,4.519,-0.63,-0.10,0.32,19.998,22.405,1.29,0.00000,140.68716,3,10
2018-06-15T10:29:21.60Z,44.3607038,12.2149166,6.719,-0.46,-0.04,0.84,17.776,19.901,1.24,0.00000,140.68796,3,9
2018-06-15T10:29:21.80Z,44.3607024,12.2149147,9.450,-0.13,0.01,0.43,15.964,17.495,0.98,0.00000,140.68858,3,9
2018-06-15T10:29:22.00Z,44.3607012,12.2149199,9.242,-0.18,-0.03,0.49,14.496,15.923,0.91,0.00000,140.68914,3,9
2018-06-15T10:29:22.20Z,44.3606879,12.2149289,10.216,-0.48,-0.06,0.48,13.452,14.960,0.98,0.00000,140.68978,3,11
2018-06-15T10:29:22.40Z,44.3606844,12.2149324,11.293,-0.35,0.09,0.72,12.111,13.466,0.96,0.00000,140.69038,3,11
2018-06-15T10:29:22.60Z,44.3606790,12.2149374,12.424,-0.60,-0.29,0.69,11.226,12.581,0.99,219.11615,42.87267,3,11
2018-06-15T10:29:22.80Z,44.3606772,12.2149360,13.730,-0.59,-0.04,0.59,10.469,11.936,0.96,201.71826,43.78690,3,12
2018-06-15T10:29:23.00Z,44.3606751,12.2149341,13.911,-0.21,-0.18,0.67,9.850,11.458,0.84,201.71826,43.78862,3,12
2018-06-15T10:29:23.20Z,44.3606724,12.2149310,13.764,-0.17,-0.11,0.58,9.234,10.915,0.76,201.71826,43.79018,3,12
2018-06-15T10:29:23.40Z,44.3606689,12.2149282,13.313,-0.28,-0.08,0.51,8.741,10.451,0.75,201.71826,43.79173,3,12
2018-06-15T10:29:23.60Z,44.3606657,12.2149249,13.019,-0.18,-0.03,0.45,8.310,10.133,0.75,201.71826,43.79326,3,13
2018-06-15T10:29:23.80Z,44.3606610,12.2149233,12.854,-0.24,-0.12,0.50,7.961,9.842,0.75,201.71826,43.79480,3,13
2018-06-15T10:29:24.00Z,44.3606559,12.2149227,12.579,-0.26,-0.10,0.52,7.669,9.587,0.74,201.71826,43.79633,3,13
2018-06-15T10:29:24.20Z,44.3606542,12.2149233,12.540,-0.14,-0.04,0.51,7.440,9.356,0.73,201.71826,43.79783,3,13
2018-06-15T10:29:24.40Z,44.3606536,12.2149232,12.561,0.10,-0.06,0.45,7.246,9.128,0.71,201.71826,43.79930,3,13
2018-06-15T10:29:24.60Z,44.3606518,12.2149249,12.547,-0.07,0.03,0.41,7.075,8.925,0.71,201.71826,43.80077,3,13
2018-06-15T10:29:24.80Z,44.3606500,12.2149249,12.184,-0.24,-0.08,0.48,6.926,8.738,0.77,201.71826,43.80235,3,13
2018-06-15T10:29:25.00Z,44.3606482,12.2149245,11.839,-0.20,-0.13,0.46,6.757,8.531,0.76,201.71826,43.80391,3,14
2018-06-15T10:29:25.20Z,44.3606466,12.2149243,11.622,-0.20,-0.04,0.43,6.601,8.339,0.75,201.71826,43.80545,3,14
2018-06-15T10:29:25.40Z,44.3606446,12.2149242,11.282,-0.20,-0.08,0.44,6.464,8.163,0.77,201.71826,43.80703,3,14
2018-06-15T10:29:25.60Z,44.3606423,12.2149238,10.958,-0.27,-0.15,0.41,6.336,8.003,0.80,201.71826,43.80867,3,14
2018-06-15T10:29:25.80Z,44.3606410,12.2149233,10.633,-0.36,-0.04,0.59,6.225,7.855,0.78,201.71826,43.81028,3,14
2018-06-15T10:29:26.00Z,44.3606387,12.2149225,10.246,-0.40,-0.28,0.53,6.123,7.727,0.85,201.71826,43.81203,3,14
2018-06-15T10:29:26.20Z,44.3606361,12.2149216,9.872,-0.46,-0.07,0.54,6.021,7.620,0.86,201.71826,43.81381,3,14
2018-06-15T10:29:26.40Z,44.3606337,12.2149207,9.431,-0.65,-0.26,0.65,5.925,7.520,0.89,201.71826,43.81577,3,14
2018-06-15T10:29:26.60Z,44.3606314,12.2149202,9.087,-0.68,-0.05,0.83,5.826,7.421,0.84,201.71826,43.81796,3,14
2018-06-15T10:29:26.80Z,44.3606300,12.2149200,8.827,-0.27,0.01,0.80,5.716,7.321,0.79,201.71826,43.81971,3,14
2018-06-15T10:29:27.00Z,44.3606277,12.2149193,8.442,-0.02,-0.02,0.41,5.553,7.180,0.78,201.71826,43.82130,3,14
2018-06-15T10:29:27.20Z,44.3606245,12.2149184,8.232,-0.16,0.02,0.44,5.413,7.061,0.81,201.71826,43.82297,3,13
2018-06-15T10:29:27.40Z,44.3606210,12.2149177,8.083,-0.36,0.12,0.39,5.282,6.951,0.79,201.71826,43.82459,3,13
2018-06-15T10:29:27.60Z,44.3606184,12.2149173,7.903,0.02,0.07,0.39,5.163,6.856,0.90,201.71826,43.82644,3,13
2018-06-15T10:29:27.80Z,44.3606165,12.2149169,7.680,0.05,0.02,0.49,5.051,6.766,0.88,201.71826,43.82825,3,14
2018-06-15T10:29:28.00Z,44.3606151,12.2149164,7.485,0.16,-0.13,0.56,4.946,6.683,0.88,201.71826,43.83006,3,14
2018-06-15T10:29:28.20Z,44.3606139,12.2149158,7.270,0.23,-0.12,0.63,4.850,6.608,0.90,201.71826,43.83189,3,14
2018-06-15T10:29:28.40Z,44.3606120,12.2149150,7.123,0.04,0.05,0.61,4.758,6.539,0.88,201.71826,43.83369,3,14
2018-06-15T10:29:28.60Z,44.3606097,12.2149145,6.880,0.08,0.10,0.49,4.673,6.475,0.91,201.71826,43.83556,3,14
2018-06-15T10:29:28.80Z,44.3606078,12.2149140,6.632,0.20,0.03,0.43,4.594,6.417,0.94,201.71826,43.83748,3,14
2018-06-15T10:29:29.00Z,44.3606062,12.2149139,6.429,-0.02,0.03,0.35,4.528,6.366,0.82,201.71826,43.83917,3,14
2018-06-15T10:29:29.20Z,44.3606050,12.2149138,6.365,-0.12,0.02,0.28,4.461,6.311,0.76,201.71826,43.84074,3,14
