time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2018-06-28T17:30:34.40Z,38.1872491,-121.2472351,1442.221,-50.16,8.05,-6.09,31.468,32.061,0.52,170.88135,1.78690,3,4
2018-06-28T17:30:34.60Z,38.1871584,-121.2472168,1443.443,-50.06,8.30,-5.96,22.187,17.254,0.57,170.59039,1.18718,3,4
2018-06-28T17:30:35.20Z,38.1868865,-121.2471624,1447.044,-50.19,8.17,-5.80,16.610,15.056,0.47,170.75753,1.04167,3,4
2018-06-28T17:30:35.40Z,38.1867962,-121.2471436,1448.243,-50.09,8.17,-5.88,15.188,13.959,0.47,170.73128,1.02599,3,4
2018-06-28T17:30:35.60Z,38.1867061,-121.2471248,1449.401,-50.15,8.11,-5.80,14.306,13.092,0.47,170.80924,1.07100,3,4
2018-06-28T17:30:35.80Z,38.1866160,-121.2471052,1450.586,-50.12,8.36,-6.01,13.572,12.373,0.47,170.52457,1.06974,3,4
2018-06-28T17:30:36.00Z,38.1865261,-121.2470857,1451.787,-49.91,8.37,-6.07,12.947,11.762,0.47,170.48076,1.07005,3,4
2018-06-28T17:30:36.20Z,38.1864435,-121.2470431,1454.031,-49.99,8.35,-5.95,11.278,10.975,0.45,170.51844,0.78778,3,5
2018-06-28T17:30:36.40Z,38.1863569,-121.2470150,1455.834,-49.26,8.79,-5.75,10.588,10.633,0.65,169.88072,0.88935,3,5
2018-06-28T17:30:36.60Z,38.1862696,-121.2469912,1457.447,-49.17,8.41,-5.99,10.192,10.408,0.70,170.29634,0.93096,3,5
2018-06-28T17:30:36.80Z,38.1861818,-121.2469701,1459.050,-49.21,8.33,-6.19,9.914,10.225,0.70,170.39169,0.94049,3,5
2018-06-28T17:30:37.00Z,38.1860934,-121.2469510,1460.716,-49.30,8.18,-6.42,9.703,10.076,0.73,170.57528,0.95603,3,5
2018-06-28T17:30:37.20Z,38.1860045,-121.2469313,1462.250,-49.56,7.97,-6.48,9.536,9.952,0.76,170.86204,0.96650,3,5
2018-06-28T17:30:37.40Z,38.1859154,-121.2469132,1463.817,-49.77,7.90,-6.44,9.329,9.747,0.71,170.97690,0.96780,3,5
2018-06-28T17:30:37.60Z,38.1858262,-121.2468963,1465.323,-49.89,7.86,-6.51,9.090,9.461,0.77,171.04997,1.16888,3,6
2018-06-28T17:30:37.80Z,38.1857358,-121.2468775,1466.564,-49.88,7.90,-6.34,8.773,9.121,0.62,170.99623,0.98207,3,6
2018-06-28T17:30:38.00Z,38.1856436,-121.2468646,1468.208,-49.96,7.89,-6.38,8.249,8.654,0.53,171.01968,0.81831,3,6
2018-06-28T17:30:38.20Z,38.1855509,-121.2468529,1469.892,-49.93,8.00,-6.40,7.696,8.227,0.52,170.90040,0.71040,3,7
2018-06-28T17:30:38.40Z,38.1854602,-121.2468394,1471.560,-49.73,8.05,-6.45,7.430,8.048,0.61,170.80846,0.75632,3,6
2018-06-28T17:30:38.60Z,38.1853693,-121.2468270,1473.308,-49.98,8.14,-6.63,7.128,7.866,0.59,170.75125,0.73226,3,6
2018-06-28T17:30:38.80Z,38.1852795,-121.2468086,1474.664,-49.78,8.28,-6.37,6.983,7.781,0.69,170.55589,0.92114,3,6
2018-06-28T17:30:39.00Z,38.1851899,-121.2467907,1475.976,-49.65,8.06,-6.25,6.894,7.745,0.90,170.77462,1.12026,3,7
2018-06-28T17:30:39.20Z,38.1851000,-121.2467721,1477.255,-49.87,8.16,-6.50,6.780,7.698,0.88,170.70629,0.88474,3,7
2018-06-28T17:30:39.40Z,38.1850101,-121.2467544,1478.591,-49.78,8.10,-6.37,6.672,7.655,0.87,170.75354,0.88194,3,7
2018-06-28T17:30:39.60Z,38.1849201,-121.2467360,1479.887,-50.00,8.07,-6.47,6.556,7.611,0.89,170.83632,0.82136,3,7
2018-06-28T17:30:39.80Z,38.1848302,-121.2467167,1481.139,-49.95,8.02,-6.48,6.446,7.566,0.84,170.88384,0.82663,3,7
2018-06-28T17:30:40.00Z,38.1847401,-121.2466988,1482.537,-50.01,8.03,-6.54,6.335,7.511,0.73,170.87830,0.82118,3,7
2018-06-28T17:30:40.20Z,38.1846506,-121.2466813,1483.675,-49.76,7.85,-6.27,6.241,7.478,0.84,171.03443,0.83204,3,7
2018-06-28T17:30:40.40Z,38.1845615,-121.2466638,1484.789,-49.68,7.97,-6.06,6.155,7.451,0.86,170.88404,0.83377,3,7
2018-06-28T17:30:40.60Z,38.1844722,-121.2466458,1485.988,-49.89,7.95,-6.10,6.075,7.431,0.87,170.94029,0.83128,3,7
2018-06-28T17:30:40.80Z,38.1843829,-121.2466279,1487.202,-49.94,8.03,-5.99,5.999,7.416,0.88,170.86864,0.82364,3,7
