time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2019-01-26T22:14:00.20Z,37.9105424,-121.7024086,2007.052,49.84,-1.65,-5.05,722.112,450.444,60.62,358.10189,3.69133,3,4
2019-01-26T22:14:00.40Z,37.9106919,-121.7024187,2013.181,48.99,-2.41,-4.43,515.034,341.122,42.49,357.18602,4.66352,3,4
2019-01-26T22:14:01.40Z,37.9110003,-121.7024581,2006.627,52.43,-1.20,-8.15,243.786,149.312,16.63,358.68682,2.16417,3,4
2019-01-26T22:14:01.60Z,37.9111023,-121.7024631,2008.525,51.26,-0.82,-7.46,208.762,126.195,13.43,359.08235,2.13072,3,4
2019-01-26T22:14:01.80Z,37.9112609,-121.7024703,2014.872,48.41,-0.41,-5.77,178.786,106.578,10.10,359.51853,2.11135,3,4
2019-01-26T22:14:02.00Z,37.9113825,-121.7024748,2018.358,46.31,0.04,-4.58,164.080,97.897,8.26,0.04881,2.13414,3,4
2019-01-26T22:14:02.20Z,37.9114683,-121.7024765,2019.101,46.47,-0.28,-4.56,153.017,91.490,7.34,359.65382,2.37046,3,4
2019-01-26T22:14:02.40Z,37.9115955,-121.7024787,2022.752,47.39,0.11,-5.08,144.042,86.188,6.80,0.12699,2.44212,3,4
2019-01-26T22:14:02.60Z,37.9116891,-121.7024803,2023.963,46.77,-0.16,-4.47,136.647,81.824,6.36,359.80520,2.54627,3,4
2019-01-26T22:14:02.80Z,37.9118079,-121.7024812,2027.160,46.63,0.10,-4.73,130.437,78.156,6.04,0.11877,2.47892,3,4
2019-01-26T22:14:03.00Z,37.9119241,-121.7024830,2030.186,45.76,-0.05,-4.29,124.963,74.932,5.74,359.93845,2.44692,3,4
2019-01-26T22:14:03.20Z,37.9120569,-121.7024832,2034.620,45.69,0.45,-4.58,120.259,72.103,5.53,0.56933,2.32866,3,4
2019-01-26T22:14:03.40Z,37.9121778,-121.7024833,2038.304,45.25,0.54,-4.66,116.105,69.562,5.37,0.68689,2.32408,3,4
2019-01-26T22:14:03.60Z,37.9122671,-121.7024830,2039.982,44.13,0.34,-4.48,112.366,67.285,5.22,0.43638,2.32657,3,4
2019-01-26T22:14:03.80Z,37.9123606,-121.7024821,2041.519,44.25,0.54,-4.05,109.148,65.226,5.17,0.69912,2.27858,3,4
2019-01-26T22:14:04.00Z,37.9124655,-121.7024805,2043.748,44.66,0.61,-3.80,106.257,63.340,5.15,0.78708,2.15238,3,4
