time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2018-08-18T20:49:13.40Z,37.6985730,-121.3471157,1142.829,-0.38,56.66,-4.34,247.883,149.427,12.84,90.38531,6.29003,3,4
2018-08-18T20:49:13.60Z,37.6985916,-121.3469878,1141.320,1.10,55.36,-3.21,129.354,85.647,6.56,88.85893,4.24262,3,4
2018-08-18T20:49:14.20Z,37.6985507,-121.3465909,1143.075,0.55,57.37,-2.87,112.283,70.416,4.98,89.44985,2.87427,3,4
2018-08-18T20:49:14.40Z,37.6985318,-121.3464317,1144.817,0.60,57.75,-2.63,103.342,65.160,4.60,89.40682,2.70201,3,4
2018-08-18T20:49:14.60Z,37.6985209,-121.3462785,1145.932,1.40,57.04,-2.14,95.453,61.118,4.35,88.59463,2.73888,3,4
2018-08-18T20:49:14.80Z,37.6985103,-121.3461262,1146.433,2.08,56.78,-1.73,84.618,56.950,3.83,87.90248,2.51025,3,4
2018-08-18T20:49:15.00Z,37.6985117,-121.3460018,1145.047,2.54,56.41,-1.30,76.337,53.596,3.46,87.42390,2.34447,3,4
2018-08-18T20:49:15.20Z,37.6985096,-121.3458692,1144.317,3.25,55.74,-0.81,69.790,50.963,3.06,86.66093,2.16787,3,4
2018-08-18T20:49:15.40Z,37.6985095,-121.3457382,1143.776,3.98,55.32,-0.33,65.012,48.829,2.87,85.88789,2.13170,3,4
2018-08-18T20:49:15.60Z,37.6985100,-121.3456061,1143.481,4.62,54.77,0.00,61.296,47.007,2.73,85.17578,2.13962,3,4
2018-08-18T20:49:15.80Z,37.6985243,-121.3454980,1141.649,5.45,54.41,0.46,58.460,45.584,2.62,84.28407,2.21584,3,4
2018-08-18T20:49:16.00Z,37.6985378,-121.3453753,1140.729,6.60,54.72,0.48,56.208,44.367,2.53,83.12441,2.36963,3,4
2018-08-18T20:49:16.20Z,37.6985548,-121.3452537,1140.027,7.59,54.90,-0.24,54.535,43.377,2.51,82.13127,2.43769,3,4
