time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2019-11-26T18:17:10.800Z,33.6673066,-117.3197493,1254.248,0.41,49.89,-6.69,111.372,172.474,8.26,89.52915,0.16409,,6
2019-11-26T18:17:11.200Z,33.6673570,-117.3195834,1244.111,0.55,49.94,-7.23,62.933,82.083,4.81,89.36901,0.09532,,6
2019-11-26T18:17:13.000Z,33.6674701,-117.3187895,1211.474,-2.65,48.70,-5.88,15.618,21.292,1.04,93.11467,0.02117,,9
2019-11-26T18:17:13.200Z,33.6674678,-117.3186890,1211.370,-3.11,48.66,-5.83,14.002,18.863,0.95,93.65696,0.01935,,10
2019-11-26T18:17:13.400Z,33.6674643,-117.3185932,1210.454,-3.49,48.63,-5.73,12.415,16.491,0.86,94.10487,0.01752,,11
2019-11-26T18:17:13.600Z,33.6674579,-117.3184873,1211.354,-3.85,48.80,-5.82,11.068,14.387,0.74,94.51092,0.01501,,11
2019-11-26T18:17:13.800Z,33.6674537,-117.3183779,1213.043,-4.22,48.56,-5.74,10.021,12.721,0.75,94.96669,0.01528,,11
2019-11-26T18:17:14.000Z,33.6674510,-117.3182656,1215.517,-4.55,48.50,-5.80,9.291,11.453,0.71,95.35948,0.01447,,11
2019-11-26T18:17:14.200Z,33.6674506,-117.3181618,1216.682,-4.86,48.34,-5.78,8.498,10.266,0.63,95.74110,0.01288,,12
2019-11-26T18:17:14.400Z,33.6674435,-117.3180582,1217.731,-5.19,48.43,-5.92,7.984,9.494,0.59,96.11676,0.01202,,12
2019-11-26T18:17:14.600Z,33.6674346,-117.3179527,1218.942,-5.54,48.42,-5.83,7.566,8.988,0.61,96.52714,0.01243,,13
2019-11-26T18:17:14.800Z,33.6674252,-117.3178483,1219.921,-6.06,48.30,-5.67,7.218,8.560,0.60,97.15129,0.01224,,13
2019-11-26T18:17:15.000Z,33.6674153,-117.3177436,1220.936,-6.28,48.32,-6.23,6.956,8.294,0.69,97.40505,0.01405,,13
2019-11-26T18:17:15.200Z,33.6674035,-117.3176296,1222.962,-6.60,48.47,-6.09,6.547,7.909,0.59,97.75409,0.01197,,12
2019-11-26T18:17:15.400Z,33.6673895,-117.3175237,1224.168,-7.04,48.27,-6.30,6.276,7.596,0.62,98.29787,0.01261,,11
2019-11-26T18:17:15.600Z,33.6673762,-117.3174181,1225.577,-7.39,48.21,-6.49,6.013,7.263,0.64,98.71490,0.01301,,12
2019-11-26T18:17:15.800Z,33.6673624,-117.3173139,1226.753,-7.64,48.02,-6.71,5.775,6.984,0.63,99.04001,0.01283,,12
2019-11-26T18:17:16.000Z,33.6673482,-117.3172109,1227.832,-7.98,47.73,-6.80,5.573,6.720,0.67,99.49152,0.01371,,12
2019-11-26T18:17:16.200Z,33.6673344,-117.3171051,1229.318,-8.31,47.76,-6.89,5.384,6.535,0.62,99.87036,0.01266,,12
2019-11-26T18:17:16.400Z,33.6673191,-117.3170007,1230.555,-8.77,48.09,-6.97,5.229,6.395,0.63,100.33525,0.01276,,12
2019-11-26T18:17:16.600Z,33.6673031,-117.3168967,1231.843,-8.99,47.77,-7.06,5.110,6.280,0.70,100.65803,0.01425,,12
2019-11-26T18:17:16.800Z,33.6672867,-117.3167930,1233.197,-9.31,47.55,-7.03,5.001,6.177,0.70,101.07802,0.01430,,12
2019-11-26T18:17:17.000Z,33.6672693,-117.3166897,1234.433,-9.72,47.45,-6.81,4.898,6.084,0.67,101.57672,0.01370,,12
2019-11-26T18:17:17.200Z,33.6672517,-117.3165857,1235.788,-9.89,47.45,-6.96,4.804,5.996,0.70,101.77359,0.01430,,13
2019-11-26T18:17:17.400Z,33.6672333,-117.3164830,1237.091,-10.28,47.32,-6.94,4.722,5.918,0.71,102.25673,0.01451,,13
2019-11-26T18:17:17.600Z,33.6672144,-117.3163800,1238.418,-10.34,47.18,-6.86,4.627,5.824,0.67,102.36154,0.01373,,14
2019-11-26T18:17:17.800Z,33.6671945,-117.3162763,1239.848,-11.05,47.37,-6.82,4.544,5.718,0.80,103.13058,0.01629,,14
2019-11-26T18:17:18.000Z,33.6671737,-117.3161725,1241.340,-11.05,47.15,-6.75,4.448,5.564,0.79,103.18971,0.01616,,14
2019-11-26T18:17:18.200Z,33.6671527,-117.3160686,1242.801,-11.56,47.27,-6.80,4.370,5.451,0.77,103.74211,0.01567,,14
2019-11-26T18:17:18.400Z,33.6671316,-117.3159657,1244.225,-11.58,47.07,-6.82,4.303,5.347,0.75,103.82123,0.01532,,14
2019-11-26T18:17:18.600Z,33.6671099,-117.3158634,1245.515,-11.88,47.12,-6.81,4.229,5.221,0.67,104.15063,0.01365,,14
2019-11-26T18:17:18.800Z,33.6670878,-117.3157622,1246.663,-12.42,47.29,-6.86,4.157,5.109,0.68,104.71553,0.01377,,15
2019-11-26T18:17:19.000Z,33.6670658,-117.3156584,1248.263,-12.66,47.51,-6.65,4.027,4.723,0.64,104.92091,0.01290,,15
2019-11-26T18:17:19.200Z,33.6670432,-117.3155556,1249.844,-12.80,46.90,-6.66,3.918,4.425,0.58,105.26546,0.01182,,15
2019-11-26T18:17:19.400Z,33.6670205,-117.3154536,1251.384,-12.84,46.64,-6.65,3.828,4.199,0.59,105.39224,0.01208,,15
2019-11-26T18:17:19.600Z,33.6669966,-117.3153517,1252.700,-13.30,47.02,-6.76,3.741,4.013,0.53,105.79400,0.01074,,15
2019-11-26T18:17:19.800Z,33.6669728,-117.3152506,1254.013,-13.15,46.77,-6.84,3.695,3.929,0.71,105.70403,0.01447,,15
2019-11-26T18:17:20.000Z,33.6669482,-117.3151489,1255.188,-13.55,46.38,-6.46,3.607,3.830,0.52,106.28582,0.01067,,15
2019-11-26T18:17:20.200Z,33.6669222,-117.3150460,1256.484,-13.83,46.45,-6.44,3.517,3.775,0.44,106.58035,0.00900,,15
2019-11-26T18:17:20.400Z,33.6668969,-117.3149464,1257.715,-14.25,46.66,-6.16,3.459,3.745,0.44,106.98271,0.00895,,16
2019-11-26T18:17:20.600Z,33.6668713,-117.3148472,1258.913,-14.41,46.57,-6.04,3.382,3.720,0.39,107.19346,0.00794,,16
2019-11-26T18:17:20.800Z,33.6668447,-117.3147466,1260.249,-14.89,46.52,-6.24,3.308,3.697,0.41,107.74869,0.00833,,16
2019-11-26T18:17:21.000Z,33.6668183,-117.3146479,1261.425,-14.96,46.35,-6.03,3.271,3.682,0.60,107.88809,0.01223,,16
2019-11-26T18:17:21.200Z,33.6667915,-117.3145491,1262.648,-15.26,46.35,-6.06,3.238,3.669,0.61,108.22331,0.01241,,16
2019-11-26T18:17:21.400Z,33.6667643,-117.3144508,1263.932,-15.61,46.11,-6.08,3.201,3.658,0.54,108.70293,0.01101,,16
2019-11-26T18:17:21.600Z,33.6667366,-117.3143523,1265.202,-15.89,46.03,-6.03,3.164,3.649,0.50,109.04517,0.01019,,16
2019-11-26T18:17:21.800Z,33.6667080,-117.3142534,1266.498,-16.11,46.04,-6.07,3.134,3.642,0.50,109.28561,0.01017,,16
2019-11-26T18:17:22.000Z,33.6666788,-117.3141548,1267.730,-16.65,45.74,-5.95,3.109,3.635,0.53,110.00221,0.01081,,16
