time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2019-12-03T19:47:07.800Z,33.5985820,-117.2535333,4413.736,-24.81,35.95,2.54,1.420,1.988,0.22,124.61053,0.00503,,19
2019-12-03T19:47:08.000Z,33.5985389,-117.2534555,4413.464,-22.87,37.47,3.47,1.394,1.945,0.18,121.39801,0.00409,,19
2019-12-03T19:47:08.200Z,33.5984975,-117.2533761,4413.100,-22.78,37.38,3.60,1.367,1.904,0.19,121.35883,0.00433,,19
2019-12-03T19:47:08.400Z,33.5984576,-117.2532984,4412.390,-21.70,36.58,5.10,1.339,1.880,0.18,120.67728,0.00420,,18
2019-12-03T19:47:08.600Z,33.5984198,-117.2532223,4411.336,-20.80,35.58,6.01,1.312,1.861,0.17,120.31047,0.00408,,18
2019-12-03T19:47:08.800Z,33.5983838,-117.2531475,4410.044,-19.79,35.34,6.88,1.289,1.841,0.16,119.24833,0.00389,,18
2019-12-03T19:47:09.000Z,33.5983499,-117.2530728,4408.632,-18.40,35.11,7.59,1.272,1.829,0.21,117.65756,0.00520,,18
2019-12-03T19:47:09.200Z,33.5983182,-117.2529975,4407.026,-17.42,35.36,8.85,1.255,1.811,0.23,116.22703,0.00569,,18
2019-12-03T19:47:09.400Z,33.5982880,-117.2529220,4405.286,-16.28,35.56,9.51,1.235,1.782,0.20,114.59915,0.00497,,19
2019-12-03T19:47:09.600Z,33.5982600,-117.2528456,4403.454,-15.08,35.62,10.31,1.217,1.753,0.20,112.94574,0.00500,,19
2019-12-03T19:47:09.800Z,33.5982342,-117.2527683,4401.462,-13.77,36.05,10.80,1.195,1.728,0.19,110.90533,0.00474,,19
2019-12-03T19:47:10.000Z,33.5982115,-117.2526912,4399.295,-12.29,36.44,11.10,1.176,1.713,0.19,108.63754,0.00475,,19
2019-12-03T19:47:10.200Z,33.5981912,-117.2526127,4397.111,-10.99,36.76,11.41,1.152,1.698,0.18,106.64489,0.00450,,17
2019-12-03T19:47:10.400Z,33.5981729,-117.2525338,4394.831,-9.86,36.97,11.50,1.130,1.684,0.18,104.93335,0.00451,,19
2019-12-03T19:47:10.600Z,33.5981562,-117.2524548,4392.474,-9.00,37.07,11.64,1.109,1.668,0.18,103.64646,0.00451,,19
2019-12-03T19:47:10.800Z,33.5981406,-117.2523750,4390.092,-8.11,37.18,11.71,1.088,1.649,0.18,102.30507,0.00452,,19
2019-12-03T19:47:11.000Z,33.5981266,-117.2522949,4387.742,-7.33,37.28,11.93,1.070,1.632,0.17,101.12361,0.00427,,19
2019-12-03T19:47:11.200Z,33.5981142,-117.2522144,4385.320,-6.65,37.40,12.14,1.053,1.617,0.17,100.08225,0.00426,,19
