time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2019-11-26T19:05:13.000Z,33.6222660,-117.3206565,1495.145,-25.42,35.93,-5.56,112.174,145.002,7.31,125.27890,0.16478,,4
2019-11-26T19:05:13.200Z,33.6221665,-117.3205807,1492.931,-25.97,35.97,-5.52,66.186,78.029,4.59,125.82893,0.10267,,5
2019-11-26T19:05:15.200Z,33.6216745,-117.3199491,1489.556,-24.75,35.64,-4.53,29.201,42.016,2.14,124.77783,0.04905,,5
2019-11-26T19:05:15.400Z,33.6216296,-117.3198735,1489.784,-24.64,35.68,-4.41,27.879,40.327,2.11,124.62830,0.04841,,5
2019-11-26T19:05:15.600Z,33.6215876,-117.3197952,1489.851,-24.70,35.81,-4.29,26.820,38.960,2.12,124.59603,0.04850,,5
2019-11-26T19:05:15.800Z,33.6215572,-117.3197398,1486.727,-24.54,36.20,-4.21,25.047,36.563,2.09,124.13337,0.04757,,6
2019-11-26T19:05:16.000Z,33.6215320,-117.3196934,1482.443,-24.07,36.61,-4.56,22.105,32.968,1.86,123.32375,0.04222,,7
2019-11-26T19:05:16.200Z,33.6215007,-117.3196339,1480.140,-24.26,36.41,-4.32,20.222,30.654,1.81,123.67554,0.04117,,7
2019-11-26T19:05:16.400Z,33.6214708,-117.3195760,1477.681,-24.82,36.04,-4.26,18.380,28.428,1.68,124.55438,0.03821,,8
2019-11-26T19:05:16.600Z,33.6214366,-117.3195111,1476.072,-24.22,36.07,-4.19,16.719,26.255,1.57,123.88026,0.03597,,9
2019-11-26T19:05:16.800Z,33.6214025,-117.3194443,1474.559,-24.29,36.27,-4.40,15.323,24.298,1.43,123.81020,0.03259,,12
2019-11-26T19:05:17.000Z,33.6213670,-117.3193724,1473.351,-24.29,36.31,-4.41,14.261,22.879,1.20,123.78101,0.02733,,13
2019-11-26T19:05:17.200Z,33.6213308,-117.3192974,1472.463,-24.22,36.64,-4.30,13.434,21.782,1.18,123.46575,0.02674,,13
2019-11-26T19:05:17.400Z,33.6212920,-117.3192198,1471.877,-24.63,36.52,-4.00,12.742,20.886,1.18,123.99671,0.02668,,13
2019-11-26T19:05:17.600Z,33.6212522,-117.3191428,1471.260,-24.71,36.67,-3.65,12.139,20.106,1.03,123.97397,0.02321,,13
2019-11-26T19:05:17.800Z,33.6212113,-117.3190620,1470.999,-24.95,36.98,-3.38,11.594,19.396,0.94,124.00711,0.02101,,13
2019-11-26T19:05:18.000Z,33.6211695,-117.3189821,1470.828,-25.10,37.05,-3.17,11.124,18.782,0.94,124.11618,0.02095,,13
2019-11-26T19:05:18.200Z,33.6211259,-117.3189035,1470.874,-25.27,36.68,-2.76,10.703,18.191,0.97,124.56417,0.02174,,13
2019-11-26T19:05:18.400Z,33.6210826,-117.3188267,1470.699,-24.92,36.26,-3.11,10.322,17.642,0.91,124.49913,0.02063,,13
2019-11-26T19:05:18.600Z,33.6210397,-117.3187493,1471.030,-24.26,36.72,-3.47,10.002,17.186,1.02,123.45176,0.02310,,13
2019-11-26T19:05:18.800Z,33.6209965,-117.3186713,1471.256,-24.60,36.75,-3.26,9.732,16.780,1.22,123.79787,0.02751,,13
2019-11-26T19:05:19.000Z,33.6209514,-117.3185935,1471.703,-25.27,36.80,-3.27,9.490,16.422,1.13,124.47679,0.02525,,13
2019-11-26T19:05:19.200Z,33.6209065,-117.3185163,1472.550,-24.99,36.52,-3.69,9.283,16.120,1.17,124.38316,0.02635,,13
2019-11-26T19:05:19.400Z,33.6208619,-117.3184384,1473.582,-24.72,36.69,-3.89,9.094,15.846,1.14,123.97024,0.02567,,13
2019-11-26T19:05:19.600Z,33.6208170,-117.3183599,1474.516,-24.76,36.90,-3.90,8.921,15.601,1.05,123.86172,0.02354,,13
2019-11-26T19:05:19.800Z,33.6207715,-117.3182824,1475.749,-24.79,36.40,-4.19,8.759,15.379,1.05,124.25658,0.02373,,13
2019-11-26T19:05:20.000Z,33.6207255,-117.3182056,1476.794,-24.97,36.18,-4.00,8.609,15.176,1.05,124.61190,0.02379,,13
2019-11-26T19:05:20.200Z,33.6206800,-117.3181275,1477.941,-24.77,36.65,-4.33,8.473,15.002,1.09,124.05290,0.02452,,13
